datetime,error_type,message,details
2026-04-23T21:49:36.631472,RUNTIME,AdxEmaStrategy.__init__() missing 1 required positional argument: 'params',
2026-04-23T22:15:37.837581,RUNTIME,'str' object has no attribute 'value',
2026-04-23T22:41:03.103020,RUNTIME,"Exchange error: kraken {""error"":[""EOrder:Insufficient funds""]}",
2026-04-23T23:13:49.891684,RUNTIME,Exchange error: kraken does not have market symbol ETH/XBT,
2026-04-23T23:22:52.561642,RUNTIME,"Exchange error: kraken {""error"":[""EOrder:Insufficient funds""]}",
2026-04-23T23:24:37.823743,RUNTIME,"Exchange error: kraken {""error"":[""EOrder:Insufficient funds""]}",
2026-04-23T23:41:53.210995,RUNTIME,'NoneType' object has no attribute 'get',
2026-04-23T23:52:54.796288,RUNTIME,"Exchange error: kraken {""error"":[""EOrder:Insufficient funds""]}",
2026-04-24T00:35:26.039887,RUNTIME,No module named 'live_trader',
2026-04-26T10:25:02.338741,RUNTIME,'cash',
2026-04-26T10:26:01.454359,RUNTIME,'cash',
2026-04-26T10:27:01.577095,RUNTIME,'cash',
2026-04-26T10:28:01.689524,RUNTIME,'cash',
2026-04-26T10:29:01.817635,RUNTIME,'cash',
2026-04-26T10:30:01.933198,RUNTIME,'cash',
2026-04-26T10:31:02.051540,RUNTIME,'cash',
2026-04-26T10:52:02.053840,RUNTIME,CCXTBroker.get_balance() takes 1 positional argument but 2 were given,
2026-04-26T10:53:01.167722,RUNTIME,CCXTBroker.get_balance() takes 1 positional argument but 2 were given,
2026-04-26T10:54:01.282937,RUNTIME,CCXTBroker.get_balance() takes 1 positional argument but 2 were given,
2026-04-26T10:55:01.394989,RUNTIME,CCXTBroker.get_balance() takes 1 positional argument but 2 were given,
2026-04-26T10:56:01.508375,RUNTIME,CCXTBroker.get_balance() takes 1 positional argument but 2 were given,
2026-04-26T10:57:01.611555,RUNTIME,CCXTBroker.get_balance() takes 1 positional argument but 2 were given,
2026-04-26T10:58:01.719610,RUNTIME,CCXTBroker.get_balance() takes 1 positional argument but 2 were given,
2026-04-26T10:59:01.816654,RUNTIME,CCXTBroker.get_balance() takes 1 positional argument but 2 were given,
2026-04-26T11:00:01.922937,RUNTIME,CCXTBroker.get_balance() takes 1 positional argument but 2 were given,
2026-04-26T11:01:02.029856,RUNTIME,CCXTBroker.get_balance() takes 1 positional argument but 2 were given,
2026-04-26T11:02:01.131626,RUNTIME,CCXTBroker.get_balance() takes 1 positional argument but 2 were given,
2026-04-26T11:03:01.236038,RUNTIME,CCXTBroker.get_balance() takes 1 positional argument but 2 were given,
2026-04-26T11:04:01.337940,RUNTIME,CCXTBroker.get_balance() takes 1 positional argument but 2 were given,
2026-04-26T11:05:01.442077,RUNTIME,CCXTBroker.get_balance() takes 1 positional argument but 2 were given,
2026-04-26T11:06:01.543258,RUNTIME,CCXTBroker.get_balance() takes 1 positional argument but 2 were given,
2026-04-26T11:07:01.654629,RUNTIME,CCXTBroker.get_balance() takes 1 positional argument but 2 were given,
2026-04-26T11:08:01.758255,RUNTIME,CCXTBroker.get_balance() takes 1 positional argument but 2 were given,
2026-04-26T11:09:01.873821,RUNTIME,CCXTBroker.get_balance() takes 1 positional argument but 2 were given,
2026-04-26T11:10:01.982782,RUNTIME,CCXTBroker.get_balance() takes 1 positional argument but 2 were given,
2026-04-26T11:11:01.096175,RUNTIME,CCXTBroker.get_balance() takes 1 positional argument but 2 were given,
2026-04-26T11:12:01.197557,RUNTIME,CCXTBroker.get_balance() takes 1 positional argument but 2 were given,
2026-04-26T11:13:01.305868,RUNTIME,CCXTBroker.get_balance() takes 1 positional argument but 2 were given,
2026-04-26T11:14:01.415554,RUNTIME,CCXTBroker.get_balance() takes 1 positional argument but 2 were given,
2026-04-26T11:15:01.524286,RUNTIME,CCXTBroker.get_balance() takes 1 positional argument but 2 were given,
2026-04-26T11:16:01.625964,RUNTIME,CCXTBroker.get_balance() takes 1 positional argument but 2 were given,
2026-04-26T11:17:01.729841,RUNTIME,CCXTBroker.get_balance() takes 1 positional argument but 2 were given,
2026-04-26T11:18:01.844926,RUNTIME,CCXTBroker.get_balance() takes 1 positional argument but 2 were given,
2026-04-26T11:19:01.951868,RUNTIME,CCXTBroker.get_balance() takes 1 positional argument but 2 were given,
2026-04-26T11:20:02.056966,RUNTIME,CCXTBroker.get_balance() takes 1 positional argument but 2 were given,
2026-04-26T11:21:01.160708,RUNTIME,CCXTBroker.get_balance() takes 1 positional argument but 2 were given,
2026-04-26T11:22:01.260273,RUNTIME,CCXTBroker.get_balance() takes 1 positional argument but 2 were given,
2026-04-26T11:23:01.370587,RUNTIME,CCXTBroker.get_balance() takes 1 positional argument but 2 were given,
2026-04-26T11:24:01.478814,RUNTIME,CCXTBroker.get_balance() takes 1 positional argument but 2 were given,
2026-04-26T11:26:12.381399,RUNTIME,'date',
2026-04-26T11:27:04.982924,RUNTIME,'date',
2026-04-26T11:28:04.588250,RUNTIME,'date',
2026-04-26T11:29:05.189032,RUNTIME,'date',
2026-04-26T11:30:04.788625,RUNTIME,'date',
